pc11_state_id,pc11_district_id,pc11_subdistrict_id,pc11_urb_share,pc11_slum_pop,pc11_vd_area,pc11_td_area,pc11_tot_area,pc11_pop_dens,pc11r_pca_tot_p,pc11u_pca_tot_p,pc11_pca_tot_p,pc11r_pca_tot_m,pc11u_pca_tot_m,pc11_pca_tot_m,pc11r_pca_tot_f,pc11u_pca_tot_f,pc11_pca_tot_f,pc11r_pca_p_lit,pc11u_pca_p_lit,pc11_pca_p_lit,pc11r_pca_m_lit,pc11u_pca_m_lit,pc11_pca_m_lit,pc11r_pca_f_lit,pc11u_pca_f_lit,pc11_pca_f_lit,pc11r_pca_p_sc,pc11u_pca_p_sc,pc11_pca_p_sc,pc11r_pca_m_sc,pc11u_pca_m_sc,pc11_pca_m_sc,pc11r_pca_f_sc,pc11u_pca_f_sc,pc11_pca_f_sc,pc11r_pca_p_st,pc11u_pca_p_st,pc11_pca_p_st,pc11r_pca_m_st,pc11u_pca_m_st,pc11_pca_m_st,pc11r_pca_f_st,pc11u_pca_f_st,pc11_pca_f_st
28,537,04539,0,0,295.07,0,295.07001,238.18416,70281,0,70281,35780,0,35780,34501,0,34501,32186,0,32186,19389,0,19389,12797,0,12797,8598,0,8598,4375,0,4375,4223,0,4223,18557,0,18557,9740,0,9740,8817,0,8817
28,537,04540,0,0,223.71,0,223.71001,281.54306,62984,0,62984,31420,0,31420,31564,0,31564,33526,0,33526,19424,0,19424,14102,0,14102,12758,0,12758,6212,0,6212,6546,0,6546,4891,0,4891,2435,0,2435,2456,0,2456
28,537,04541,0,0,211.28,0,211.28,212.43848,44884,0,44884,22712,0,22712,22172,0,22172,24069,0,24069,14136,0,14136,9933,0,9933,11225,0,11225,5677,0,5677,5548,0,5548,1478,0,1478,732,0,732,746,0,746
28,537,04542,0,0,227.37,0,227.37,225.77298,51334,0,51334,26135,0,26135,25199,0,25199,27223,0,27223,16176,0,16176,11047,0,11047,11766,0,11766,5937,0,5937,5829,0,5829,1781,0,1781,917,0,917,864,0,864
28,537,04543,.39967212,825.0994262695313,168.23,17.8,186.03,472.16577,52731,35106,87837,26976,18225,45201,25755,16881,42636,27429,23372,50801,16049,13162,29211,11380,10210,21590,11858,4110,15968,6014,2063,8077,5844,2047,7891,5338,796,6134,2652,408,3060,2686,388,3074
28,537,04544,0,0,263.69,0,263.69,246.97562,65125,0,65125,33792,0,33792,31333,0,31333,34537,0,34537,20645,0,20645,13892,0,13892,12968,0,12968,6622,0,6622,6346,0,6346,10014,0,10014,5339,0,5339,4675,0,4675
28,537,04545,0,0,331.63,0,331.63,164.60211,54587,0,54587,28076,0,28076,26511,0,26511,28190,0,28190,17055,0,17055,11135,0,11135,13139,0,13139,6704,0,6704,6435,0,6435,4351,0,4351,2334,0,2334,2017,0,2017
28,537,04546,.16686484,0,219.03,20.79,239.82001,308.58975,61657,12349,74006,31909,5969,37878,29748,6380,36128,35756,8040,43796,21082,4160,25242,14674,3880,18554,14176,2931,17107,7311,1318,8629,6865,1613,8478,2172,312,2484,1096,107,1203,1076,205,1281
28,537,04547,0,0,242.9,0,242.89999,191.38741,46488,0,46488,23879,0,23879,22609,0,22609,24035,0,24035,14557,0,14557,9478,0,9478,7937,0,7937,4098,0,4098,3839,0,3839,10433,0,10433,5406,0,5406,5027,0,5027
28,537,04548,0,0,322.23,0,322.23001,153.33456,49409,0,49409,25434,0,25434,23975,0,23975,25741,0,25741,15871,0,15871,9870,0,9870,12476,0,12476,6405,0,6405,6071,0,6071,4301,0,4301,2278,0,2278,2023,0,2023
