lgd_state_id,lgd_district_id,pc11r_hl_dw_loc_inprem_no,pc11r_hl_dw_loc_nearprem_no,pc11r_hl_dw_loc_far_no,pc11u_hl_dw_loc_inprem_no,pc11u_hl_dw_loc_nearprem_no,pc11u_hl_dw_loc_far_no,pc11r_hl_dw_loc_inprem_sh,pc11r_hl_dw_loc_nearprem_sh,pc11r_hl_dw_loc_far_sh,pc11u_hl_dw_loc_inprem_sh,pc11u_hl_dw_loc_nearprem_sh,pc11u_hl_dw_loc_far_sh,pc11r_pca_no_hh,pc11u_pca_no_hh,pc11_pca_no_hh
03,033,21895701.59815979,3430869.499992371,1157004.797416687,6606243.625,426283.6953125,183740.3963928223,82.678017,12.954939,4.3688421,91.546135,5.9072337,2.5461857,264831,72163,336994
03,034,18201981.61580658,2536127.997314453,620880.2004375458,23404113.1875,1072501.281738281,319877.803894043,85.188545,11.869535,2.9058311,94.389313,4.3254218,1.2900743,213667,247953,461620
03,035,9179460.497970581,1188038.49974823,402288.5012207031,5630795.6171875,302379.4984130859,96366.60113525391,85.223846,11.029974,3.7349224,93.412224,5.0163321,1.5986762,107710,60279,167989
03,036,24856365.31674194,2439595.901557922,783491.9978256226,41259176.109375,1944084.446044922,401103.1070861816,88.52108,8.6881437,2.7902534,94.624626,4.4586024,.91989797,280796,436030,716826
03,037,8199928.677001953,2087104.794189453,1436263.701171875,2808936.8125,252579.80078125,178283.3984375,69.946167,17.8032,12.251465,86.700935,7.796154,5.5029135,117232,32398,149630
03,038,11290290.81337738,2225813.098304749,1215690.101615906,4064001.9375,344709.9990234375,187088.0029296875,76.64151,15.109414,8.252429,88.428604,7.5005441,4.0708475,147313,45958,193271
03,039,8272006.291290283,2391086.800476074,1748354.798416138,4431159.6875,375964.9921875,216636.6953125,66.643082,19.263695,14.08555,88.206856,7.4839754,4.3123794,124124,50236,174360
03,040,8869846.293426514,1011363.499504089,395411.8001251221,2425742.5,146648.8996582031,100997.8981933594,86.311096,9.8414211,3.8476908,90.736237,5.4854827,3.7778821,102766,26734,129500
03,041,17216777.12095642,3414713.101509094,1487709.402587891,15009614,651920.302734375,142288.4998779297,77.837051,15.437918,6.7259345,94.975914,4.1251378,.90035498,221190,158036,379226
03,042,7489171.811676025,1604998.999134064,688148.8998260498,3515114.46875,200333.69921875,65832.30029296875,76.555267,16.406504,7.0343451,92.972771,5.2987118,1.7412267,97827,37808,135635
03,043,16764184.72839355,3516510.49861145,1504259.00188446,9217761.25,714862.2080078125,167481.4012451172,76.947937,16.140852,6.9045782,91.259544,7.0774231,1.6581331,217864,101006,318870
03,605,6089364.70111084,1235897.59211731,340653.3011627197,3641111.09375,226058.498046875,46660.19995117188,79.436516,16.122437,4.4438643,93.025497,5.7754912,1.1921054,76657,39141,115798
03,608,6316267.503234863,1121188.198776245,391278.6010971069,10953697.8984375,898862.99609375,178307.9979553223,80.679893,14.321329,4.9979386,91.062263,7.4725909,1.4823424,78288,120288,198576
03,609,15760131.40286255,1390046.597373962,521521.7000579834,2523131.078125,113571.19921875,38881.20068359375,89.182381,7.8659029,2.9511521,94.315605,4.2453351,1.4533942,176718,26752,203470
03,651,9954317.106163025,3051401.698692322,2076653.592910767,4717728.390625,436271.099609375,132443.3991699219,65.997368,20.230869,13.768265,89.207306,8.2494297,2.5043662,150829,52885,203714
03,662,5624186.217163086,1460746.790802002,380547.7972183228,5186118.5859375,704551.4997558594,99915.89965820313,75.33065,19.565319,5.0970774,86.581055,11.762325,1.6680729,74660,59899,134559
04,044,0,0,0,20176329.296875,2716807.699462891,510162.9996337891,,,,86.211472,11.608652,2.1798763,0,234033,234033
05,045,2575335.702476501,6343010.799186707,3594245.899673462,1194606.12109375,191277.400390625,83995.6005859375,20.568295,50.659386,28.705971,77.733353,12.446473,5.4656167,125209,15368,140577
05,046,1313049.303833008,2711381.096855164,1572429.400230408,0,0,0,23.450659,48.424438,28.083109,0,0,0,55992,2054,58046
05,047,2155131.504081726,3221076.996421814,2040865.392097473,1155045.404296875,181541.6020507813,127823.1015625,29.026903,43.383846,27.487883,78.86422,12.395303,8.7275095,74246,14646,88892
05,048,1410537.10509491,1868307.90473938,1302013.599250793,632795.015625,114826.2045898438,73695.998046875,30.789015,40.781174,28.420177,77.057358,13.982733,8.974184,45813,8212,54025
05,049,9904564.418205261,2788360.09841156,1715365.699874878,18379327.9921875,1303533.597045898,592845.587097168,68.717751,19.34561,11.901187,90.588097,6.424861,2.9220195,144134,202889,347023
05,050,13747032.88651276,4709876.31703186,1982385.100308418,12011169,907374.2001953125,445044.5062255859,67.230217,23.033772,9.6949053,89.885796,6.7903509,3.3304985,204477,133627,338104
