pc11_state_id,pc11_district_id,pc_hospitals_r,pc_hospitals_u,pc_hosp_beds_u,pc_pmed_pos_r,pc_pmed_pos_u,pc_docs_pos_r,pc_docs_pos_u,pc_docs_hosp_u,pc_docs_hosp_r,pc_clinics_r,pc_clinics_u,pc_clinic_beds_u,pc11_pca_tot_p,pc_clinics,pc_docs,pc_docs_hosp,pc_pmeds,pc_num_hospitals
07,098,0,2,123.1304349899292,0,222,0,77.43478226661682,14.60869562625885,0,3,64,218.0869560241699,858049,67,77.434784,14.608696,222,2
08,099,0,23,867,1385,626,275,245,111,0,591,110,1107,1960966,701,520,111,2011,23
08,100,1,7,410,1791,322,555,108,59,4,560,47,488,1767110,607,663,63,2113,8
08,101,0,18,2210,2036,1563,620,440,318,0,633,102,2477,2363374,735,1060,318,3599,18
08,102,1,18,938,1930,539,511,200,101,4,656,96,1134,2039253,752,711,105,2469,19
08,103,1,38,1174,2668,883,662,358,125,4,815,165,1475,2137043,980,1020,129,3551,39
08,104,3,19,1088,3104,903,924,266,129,14,905,124,1255,3673914,1029,1190,143,4007,22
08,105,0,18,950,2057,539,582,221,120,0,591,78,1138,2548063,669,803,120,2596,18
08,106,0,8,502,665,286,168,94,49,0,233,31,563,1206446,264,262,49,951,8
08,107,0,5,440,1485,299,412,86,55,0,452,33,489,1458088,485,498,55,1784,5
08,108,1,5,366,1181,310,324,86,51,4,365,30,423,1335202,395,410,55,1491,6
08,109,0,9,407,1229,256,361,102,53,0,390,36,468,1633790,426,463,53,1485,9
08,110,1,31,1656,3473,770,1086,318,155,4,1042,105,1866,3579286,1147,1404,159,4243,32
08,111,3,44,1427,3034,986,803,398,162,12,991,151,1834,2677041,1142,1201,174,4020,47
08,112,3,39,1256,3783,762,988,298,109,12,1230,158,1532,3305780,1388,1286,121,4545,42
08,113,1,19,2357,3356,1711,762,440,317,4,1303,127,2495,3687023,1430,1202,321,5067,20
08,114,0,4,250,767,193,109,62,36,0,368,21,301,668471,389,171,36,960,4
08,115,0,5,380,2673,263,431,77,44,0,1204,29,436,2603493,1233,508,44,2936,5
08,116,0,8,531,2366,317,666,77,26,0,761,30,705,1828692,791,743,26,2683,8
08,117,0,16,423,1217,390,338,135,43,0,369,62,575,1036052,431,473,43,1607,16
08,118,3,25,1075,2557,689,592,243,104,14,848,99,1319,2037407,947,835,118,3246,28
08,119,2,31,2581,1918,1471,538,487,325,8,605,123,2920,2582868,728,1025,333,3389,33
08,120,3,9,506,1500,410,345,121,62,12,492,48,587,1420809,540,466,74,1910,12
08,121,0,14,599,1032,432,240,145,58,0,327,59,730,1109155,386,385,58,1464,14
08,122,2,24,887,2441,820,590,202,86,8,840,86,1078,2407737,926,792,94,3261,26
08,123,0,11,634,1117,389,206,149,83,0,425,44,715,1156312,469,355,83,1506,11
08,124,2,8,526,1922,302,404,107,65,8,706,29,577,1388511,735,511,73,2224,10
08,125,1,6,559,1913,241,375,76,37,4,712,27,631,1797110,739,451,41,2154,7
08,126,2,18,813,1487,428,315,156,65,8,545,64,1029,1542942,609,471,73,1915,20
08,127,0,18,1062,746,1123,189,346,207,0,250,118,1346,1950653,368,535,207,1869,18
08,128,0,11,580,950,364,216,132,59,0,332,56,656,1222144,388,348,59,1314,11
08,129,0,20,1139,1013,608,173,287,184,0,379,64,1306,1410447,443,460,184,1621,20
08,130,3,22,2169,2747,612,527,210,74,12,1095,87,2362,3067714,1182,737,86,3359,25
08,131,1,6,301,730,217,153,56,23,4,271,20,344,867172,291,209,27,947,7
09,132,2,26,674,421,489,201,168,79,5,69,127,1050,3465682,196,369,84,910,28
09,133,16,24,359,941.5,546,434,217,58,47,375,1537,1447,4143111,1912,651,105,1487.5,40
09,134,10,25,329,433,248,187,186,60,15,183,686,862,3680174,869,373,75,681,35
09,135,6,19,730,722,655,370,338,102,7,612,463,2307,4771344,1075,708,109,1377,25
09,136,3,12,234,1063,259,551,73,39,6,120,53,455,2335176,173,624,45,1322,15
09,137,5,8,144,242,230,155,152,72,6,76,530,643,1839694,606,307,78,472,13
09,138,16,13,474,644,670,342,289,30,27,365,376,1002,3443472,741,631,57,1314,29
09,139,6,14,208,315,300,183,171.125,93.375,14,2645,64,335,1302911,2709,354.125,107.375,615,20
09,140,8,14,599.1923084259033,647,1103,315,366.615385055542,114.2307691574097,12,268,673,1402.923076629639,4681549,941,681.61536,126.23077,1750,22
09,141,5,6,221.8461542129517,261,250,133,101.2307691574097,19.38461542129517,5,147,202,539.538459777832,1647619,349,234.23077,24.384615,511,11
09,142,8,11,448,501,480,399,152,43,16,199,325,976,3499033,524,551,59,981,19
09,143,6,12,646,412,391,249,270,56,7,177,196,2258,3673790,373,519,63,803,18
09,144,5,8,234,244,225,198,93,39,17,99,60,466,1564563,159,291,56,469,13
09,145,10,10,234,407,729,211,903,62,15,283,176,1317,2546804,459,1114,77,1136,20
09,146,17,110,1746,384,3932,289,1164,168,12,299,357,12746,4418723,656,1453,180,4316,127
09,147,4,12,454,530,315,250,79,43,6,180,88,576,2498101,268,329,49,845,16
09,148,13,8,405,399,447,193,89,55,13,160,73,531,1868393,233,282,68,846,21
09,149,9,19,601,368,678,203,218,84,4,199,575,947,3681681,774,421,88,1046,28
09,150,5,25,934,546,814,268,307,88,5,151,214,1774,4447632,365,575,93,1360,30
09,151,5,7,285,324,150,191,173,52,5,105,114,616,2029321,219,364,57,474,12
09,152,2,7,485,511,546,302,141,67,4,99,32,863,3004829,131,443,71,1057,9
09,153,3,10,128,637,181,388,63,26,3,213,78,265,4020617,291,451,29,818,13
09,154,25,12,232,920,649,458,133,82,32,233,73,387,4483797,306,591,114,1569,37
09,155,41,16,449,348,518,382,114,58,52,383,50,654,4092759,433,496,110,866,57
09,156,12,12,276,305,533,224,159,71,12,126,95,509,3107911,221,383,83,838,24
09,157,13,70,2418,175,1464,316,826,144,19,159,4012,7003,4589769,4171,1142,163,1639,83
09,158,23,6,241,335,647,347,192,41,41,229,86,909,3405265,315,539,82,982,29
09,159,22,8,404,309,193,192,143,113,23,199,85,510,1885116,284,335,136,502,30
09,160,1,8,174,77,247,59,66,29,1,85,70,348,1656567,155,125,30,324,9
09,161,9,5,158,158,24,135,56,36,11,103,52,277,1581776,155,191,47,182,14
09,162,23,8,130,127,211,649,56,25,56,234,64,207,1379342,298,705,81,338,31
09,163,15,4,116,178,146,199,42,6,5,209,55,239,1796076,264,241,11,324,19
09,164,8,67,4882,475,2000,304,351,248,10,149,140,5237,4581155,289,655,258,2475,75
09,165,28,9,245,310,384,320,73,46,75,219,29,379,1689508,248,393,121,694,37
09,166,10,20,844,144,1157,268,360,90,6,175,184,1584,1998250,359,628,96,1301,30
09,167,13,5,284,184,199,195,67,22,17,146,59,447,1221190,205,262,39,383,18
09,168,15,7,192,156,180,286,46,17,23,131,345,335,1104133,476,332,40,336,22
09,169,4,8,179,49,99,70,41,36,2,85,32,198,875849,117,111,38,148,12
09,170,8,58,742,194,494,162,225,138,9,164,443,1115,1799082,607,387,147,688,66
09,171,6,4,134,279,63,141,45,37,10,63,11,148,991365,74,186,47,342,10
09,172,15,9,292,425,113,237,58,26,22,327,48,494,2632479,375,295,48,538,24
09,173,26,4,188,436,320,502,74,5,33,561,108,887,3208859,669,576,38,756,30
09,174,7,5,164,163,197,104,41,9,13,90,32,263,1599559,122,145,22,360,12
09,175,20,12,476,536,480,358,213,100,29,347,95,1107,5952818,442,571,129,1016,32
09,176,19,8,301,363,436,325,108,37,40,306,1990,716,3260325,2296,433,77,799,27
09,177,16,7,354,316,371,324,97,62,39,196,61,571,2470764,257,421,101,687,23
09,178,11,1,14.85714280605316,377,110,274,30.85714244842529,1.142857149243355,40,182,47,149.2857131958008,2397261,229,304.85715,41.142857,487,12
09,179,19,7,256,494,340,299,65,35,32,309,51,422,3796476,360,364,67,834,26
09,180,4,5,268,79,299,80,68,35,6,109,34,441,3487604,143,148,41,378,9
09,181,4,2,35,205,42,92,16,6,10,46,508,57,1117225,554,108,16,247,6
09,182,7,5,235,70,222,53,79,30,6,89,101,498,2148555,190,132,36,292,12
09,183,4,5,262,268,284,181,64,39,4,90,42,420,3433700,132,245,43,552,9
09,184,1,5,52,71,86,70,48,12,1,73,38,102,2557981,111,118,13,157,6
09,185,0,3,334,160,301,105,40,27,0,49,34,473,2460778,83,145,27,461,3
09,186,9,2,60,59,200,78,24,8,18,44,178,103,1713945,222,102,26,259,11
09,187,1,9,214,37,285,61,65,32,1,54,381,420,2684496,435,126,33,322,10
09,188,9,18,300,210,391,236,163,37,32,107,128,917,4437832,235,399,69,601,27
09,189,29,6,132,373,146,330,60,22,43,159,32,257,3563955,191,390,65,519,35
09,190,10,9,441,418,416,294,119,69,33,115,147,668,3099756,262,413,102,834,19
09,191,5,9,458,420,895,199,162,14,9,171,57,1483,4608998,228,361,23,1315,14
09,192,2,8,184,140,219,92,82,43,1,52,80,245,2203065,132,174,44,359,10
09,193,0,11,383,264,407,85,78,41,0,94,1249,596,3237749,1343,163,41,671,11
09,194,8,8,225,35,249,145,72,27,26,112,75,383,4491434,187,217,53,284,16
09,195,4,7,277,109,387,171,91,42,18,161,428,602,3615085,589,262,60,496,11
09,196,6,5,275,20,229,53,42,22,3,59,2694,334,1951050,2753,95,25,249,11
09,197,18,13,1355,114,984,140,159,111,15,94,247,1571,3675555,341,299,126,1098,31
09,198,2,5,209,13,89,20,60,43,1,25,101,251,1577250,126,80,44,102,7
09,199,5,13,457,147,565,361,69,21,21,63,44,778,2495021,107,430,42,712,18
09,200,5,13,911,243,355,126,116,79,5,65,81,1022,1860919,146,242,84,598,18
09,201,5,7,254,132,339,79,77,46,19,130,156,387,1774378,286,156,65,471,12
09,202,7,7,139,72,201,46,58,22,12,58,118,238,1436632,176,104,34,273,14
10,203,0,4,436,1490,268,667,101,35,0,691,67,686,3934747,758,768,35,1758,4
10,204,0,5,386,1760,363,1374,170,29,0,658,133,700,5099299,791,1544,29,2123,5
10,205,0,1,50,143,136,82,33,20,0,103,17,77,656166,120,115,20,279,1
10,206,0,1,90,1376,191,992,52,8,0,461,24,167,3423472,485,1044,8,1567,1
10,207,0,2,225,968,156,718,61,26,0,695,30,350,4487277,725,779,26,1124,2
10,208,0,1,100,550,88,340,44,12,0,263,14,255,2229051,277,384,12,638,1
10,209,0,1,100,625,119,289,36,7,0,274,25,215,2811441,299,325,7,744,1
10,210,0,1,107,370,426,193,64,8,0,209,40,643,1690183,249,257,8,796,1
10,211,0,1,500,890,298,431,76,30,0,266,12,631,3264029,278,507,30,1188,1
10,212,0,3,662,459,890,423,354,286,0,394,159,862,3070115,553,777,286,1349,3
10,213,0,1,300,451,53,237,30,9,0,276,16,363,2001681,292,267,9,504,1
10,214,0,1,208,304,104,218,10,8,0,199,8,208,1900612,207,228,8,408,1
10,215,0,3,1111,860,318,511,188,152,0,542,49,1382,3937048,591,699,152,1178,3
10,216,0,4,1121,1155,512,675,222,115,0,685,150,1600,4800808,835,897,115,1667,4
10,217,0,4,80,575,155,541,88,20,0,277,61,450,2561468,338,629,20,730,4
10,218,0,2,112,1165,174,389,79,8,0,796,43,260,3330285,839,468,8,1339,2
10,219,0,4,429,949,1577,344,245,132,0,654,110,1174,3951531,764,589,132,2526,4
10,220,0,2,153,1582,103,228,34,19,0,645,37,159,3494471,682,262,19,1685,2
10,221,0,5,312,1642,186,332,84,12,0,574,100,603,4261126,674,416,12,1828,5
10,222,0,4,308,854,139,273,111,44,0,286,96,497,2970249,382,384,44,993,4
10,223,0,1,42,690,84,369,46,8,0,255,24,259,1666853,279,415,8,774,1
10,224,0,6,515,1122,289,294,130,48,0,456,57,730,3037106,513,424,48,1411,6
10,225,0,1,100,907,153,490,37,7,0,429,24,215,2032934,453,527,7,1060,1
10,226,0,2,476,331,264,190,100,21,0,182,53,778,1367187,235,290,21,595,2
10,227,0,3,236,539,129,155,75,25,0,168,36,481,1000854,204,230,25,668,3
10,228,0,2,160,571,325,97,118,35,0,207,58,454,636261,265,215,35,896,2
10,229,0,5,366,1039,235,346,122,39,0,595,103,948,2877649,698,468,39,1274,5
10,230,0,15,2515.714279174805,1350,3804,557,858.3529167175293,496.0714302062988,0,984,319,4353.11116027832,5838347,1303,1415.3529,496.07144,5154,15
10,231,0,2,153,1033,282,500,69,25,0,603,111,275,2728315,714,569,25,1315,2
10,232,0,5,178,1152,355,457,81,19,0,357,34,256,1705833,391,538,19,1507,5
