lgd_state_id,lgd_district_id,pc11r_pca_tot_p,pc11u_pca_tot_p,pc11_pca_tot_p,pc11r_ag_main_share,pc11u_ag_main_share,pc11_ag_main_share,pc11r_pca_main_al_p,pc11r_pca_marg_al_p,pc11u_pca_main_al_p,pc11_pca_main_al_p,pc11r_pdensity,pc11u_pdensity,pc11_pdensity,pc11r_pca_tot_work_p,pc11r_pca_main_cl_p,pc11r_pca_main_hh_p,pc11r_pca_main_ot_p,pc11r_pca_margwork_p,pc11r_pca_marg_cl_p,pc11r_pca_marg_hh_p,pc11r_pca_marg_ot_p,pc11r_pca_margwork36_p,pc11r_pca_marg_cl36_p,pc11r_pca_marg_al36_p,pc11r_pca_marg_hh36_p,pc11r_pca_marg_ot36_p,pc11r_pca_margwork03_p,pc11r_pca_marg_cl03_p,pc11r_pca_marg_al03_p,pc11r_pca_marg_hh03_p,pc11r_pca_marg_ot03_p,pc11r_pca_non_work_p,pc11u_pca_main_cl_p,pc11_pca_main_cl_p,pc11_vd_area,pc11_td_area,pc11_area,pc11r_pca_mainwork_p,pc11u_pca_mainwork_p,pc11_pca_mainwork_p
21,362,1169071,1084316,2253387,.21255957,.015380023,.22793959,58134,48720,5978,64112,509.24213,540.86536,523.98413,400556,76450,11165,146410,108397,11444,6623,41610,89928,9524,40716,5262,34426,18469,1920,8004,1361,7184,768515,3760,80210,2295.707601604518,2004.78,4300.4873,292159,341000,633159
21,363,1153478,226169,1379647,.62166673,.0087423697,.63040912,88003,199956,1161,89164,193.26996,158.03636,186.45537,610613,158463,5418,71149,287580,45979,6042,35603,242744,37758,172318,4835,27833,44836,8221,27638,1207,7770,542865,2305,160768,5968.221902389079,1431.12,7399.3418,323033,73427,396460
21,364,545610,49528,595138,.78947335,.0096569732,.79913038,22684,78857,903,23587,153.91609,2006.8071,166.72711,282009,114577,1934,18856,123958,29990,4942,10169,104179,24782,68026,3865,7506,19779,5208,10831,1077,2663,263601,776,115353,3544.853593947366,24.68,3569.5334,158051,15813,173864
21,365,2326842,192896,2519738,.57017815,.0072667263,.57744491,143550,421191,1735,145285,327.18765,2393.2507,350.34103,1156323,169130,33724,146955,662964,66737,77151,97885,528616,55934,339817,58236,74629,134348,10803,81374,18915,23256,1170519,2250,171380,7111.643595894799,80.59999999999999,7192.2437,493359,55031,548390
21,366,1133023,87625,1220648,.73209202,.010763055,.74285507,70681,253507,1570,72251,286.41998,275.96338,285.64301,577008,133580,5920,44214,322613,37827,6639,24640,268864,31947,211969,5118,19830,53749,5880,41538,1521,4810,556015,1433,135013,3955.809998109937,317.524,4273.334,254395,24615,279010
21,367,883051,79738,962789,.55237126,.0074560409,.55982733,58384,60325,863,59247,391.06104,1304.4005,415.13483,318229,68151,8623,72843,110228,13867,7584,28452,89897,11130,50771,5470,22526,20331,2737,9554,2114,5926,564822,845,68996,2258.089998321608,61.13,2319.22,208001,21075,229076
21,368,576328,34054,610382,.70920408,.0056627155,.71486676,36791,112113,339,37130,223.36406,638.24127,231.76942,292882,70791,4095,29944,151261,23283,4023,11842,124801,18253,93806,3185,9557,26460,5030,18307,838,2285,283446,520,71311,2580.218193139881,53.35599999999999,2633.5742,141621,10073,151694
21,369,1432086,264930,1697016,.49428892,.0089310715,.50321996,77354,82415,2111,79465,562.24591,308.38803,498.21948,527013,145077,11868,131749,160965,24993,8459,45098,130860,19805,68038,6326,36691,30105,5188,14377,2133,8407,905073,1908,146985,2547.081300225109,859.0799999999999,3406.1614,366048,83954,450002
21,370,820945,146966,967911,.61531943,.011188903,.62650836,65487,178935,1572,67059,126.79971,2540.0276,148.17525,413699,74692,3055,40633,229832,23388,4262,23247,198975,20303,156777,3058,18837,30857,3085,22158,1204,4410,407246,977,75669,6474.344604386017,57.86,6532.2046,183867,43948,227815
21,371,731736,308093,1039829,.41713428,.0154645,.4325988,70638,85952,2367,73005,182.9308,220.4191,192.63834,389945,69706,28481,69558,151562,13684,22927,28999,127423,11458,73436,19498,23031,24139,2226,12516,3429,5968,341791,2836,72542,4000.069995012134,1397.76,5397.8301,238383,98065,336448
21,372,560242,49941,610183,.67046964,.014328685,.6847983,52787,84074,1152,53939,321.02615,945.13623,339.36765,268217,61339,10858,30185,113048,11220,5325,12429,95284,9527,71738,4037,9982,17764,1693,12336,1288,2447,292025,1287,62626,1745.159999459982,52.84,1798,155169,15049,170218
21,373,1355340,738097,2093437,.34998655,.0085215801,.35850814,57404,192829,1883,59287,194.71429,268.06369,215.50499,625502,129878,9441,118889,309890,50614,8769,57678,243106,39913,155050,6222,41921,66784,10701,37779,2547,15757,729838,2677,132555,6960.660000517964,2753.439,9714.0996,315612,219500,535112
