lgd_state_id,lgd_district_id,pc11_tot_all_hosp,pc11_tot_all_hosp_doc_tot,pc11_tot_all_hosp_pmed_tot,pc11_tot_disp,pc11_tot_ch_cntr,pc11_tot_ph_cntr,pc11_tot_phs_cntr,pc11_tot_mcw_cntr,pc11_tot_tb_cln,pc11_tot_mh_cln,pc11_tot_fwc_cntr,pc11_tot_nh,pc11_tot_mh
09,121,12,66.14285714924335,143,11,7,20,40,32,1,3,56,18,0
09,122,31,101,221,25,1,14,53,70,16,16,70,0,0
09,123,14,86,122,23,44,49,11,112,2,45,114,5,1
09,124,20,122,214,9,5,20,11,34,2,0,28,2,0
09,125,9,58,225,16,8,35,8,80,2,13,87,0,0
09,126,11,42,159,8,12,52,16,1693,0,13,1693,16,3
09,127,12,60,175,24,2,14,3,23,0,2,26,7,0
09,128,66,170,256,17,7,43,7,35,4,3,12,7,2
09,129,27,117,264,37,15,43,71,65,10,2,32,13,1
09,130,30,111,633,27,14,48,52,57,6,6,53,17,0
09,131,3,59,241,0,8,19,11,16,2,9,17,0,0
09,132,35,129,190,35,8,31,62,44,4,6,41,23,0
09,133,27,116,471,43,8,33,10,54,8,11,72,11,0
09,134,19,115,362,30,17,44,13,71,8,7,60,21,0
09,135,11,89,213,7,7,20,7,47,6,10,50,0,2
09,136,10,57,99,4,5,25,5,36,2,2,29,0,0
09,137,19,116,306,15,11,53,9,115,8,15,119,1,2
09,138,12,87,254,9,4,27,8,43,1,8,44,0,0
09,139,14,71,32,10,6,23,29,16,7,7,15,0,1
09,140,23,126,307,45,7,8,6,75,6,2,37,2,0
09,141,30,216,155,24,4,24,4,23,2,22,28,0,0
09,142,24,54,134,12,3,34,11,40,8,5,26,1,3
09,143,16,78,305,12,9,46,33,58,2,2,54,0,1
09,144,11,27.61538457870483,80,14,11,22,27,28,4,2,21,2,7
09,145,13,120.4615383148193,362,57,4,12,28,21,3,0,24,138,0
09,146,11,66,215,30,15,50,14,98,3,21,103,6,0
09,147,9,61,221,6,11,41,11,62,7,13,66,0,1
09,148,27,93,262,34,15,44,9,115,5,19,124,34,2
09,149,22,87,181,12,20,50,36,33,3,0,24,0,0
09,150,57,125,440,57,18,33,16,15,35,25,14,0,0
09,151,37,163,395,31,3,22,84,68,11,16,24,0,1
09,152,16,88,247,19,13,43,15,91,0,15,97,2,0
09,153,30,127,837,82,7,28,67,25,4,29,30,1,2
09,154,13,83,102,15,7,24,6,27,3,1,27,14,0
09,155,9,39,152,12,10,22,36,11,1,2,0,5,0
09,156,19,28,134,20,8,20,94,34,5,7,36,0,0
09,157,75,403,2160,46,10,32,9,38,6,2,35,4,1
09,158,12,51,135,10,4,21,4,14,5,5,11,1,0
09,159,13,38,105,20,17,68,69,63,12,7,69,6,1
09,160,35,90,207,27,12,42,13,120,23,15,136,1,0
09,161,18,51,64,19,5,20,59,19,10,1,21,0,2
09,162,83,181,308,366,3,20,53,38,11,11,19,239,0
09,163,13,86,328,22,3,22,3,30,2,0,34,0,2
09,164,10,54,309,6,9,25,8,15,0,10,18,0,0
09,165,12,56,100,8,3,14,31,27,0,1,21,0,0
09,166,21,106,416,18,8,38,7,41,8,9,28,1,0
09,167,20,86,246,23,15,22,11,40,7,3,48,49,8
09,168,10,64,134,8,6,26,10,34,0,6,34,1,0
09,169,29,132,442,40,12,32,11,72,11,14,64,50,2
09,170,18,112,308,7,8,19,10,66,5,12,66,0,2
09,171,18,123,251,31,3,27,68,45,3,5,36,150,1
09,172,27,64,221,21,6,38,28,145,8,6,65,10,0
09,173,12,59,56,18,8,26,36,28,5,1,31,1,0
09,174,30,78,127,56,49,72,63,90,9,37,77,1,0
09,175,17,75,231,38,9,27,43,66,8,26,58,31,0
09,176,15,61,192,19,5,25,4,438,4,3,26,0,0
09,177,28,121,410,15,13,36,14,49,2,0,44,8,0
09,178,11,61,155,3,4,15,3,39,7,4,42,0,0
09,179,7,46,71,7,3,11,2,21,1,3,21,0,0
09,180,9,89,497,13,9,34,8,63,4,9,57,2,0
09,181,6,24,36,7,6,10,5,33,5,6,34,1,1
09,182,6,14,42,7,10,42,10,52,0,10,52,0,0
09,183,37,150,567,24,27,74,44,90,14,13,75,2,1
09,184,18,117,339,16,3,14,4,40,12,8,48,1,0
09,185,18,61,226,27,6,27,7,56,6,2,29,0,0
09,186,24,95,359,25,12,35,15,37,22,10,18,0,0
09,187,31,195,878,33,5,15,5,1054,16,12,1055,3,0
09,633,14,45,206,10,4,25,5,32,6,6,33,0,1
09,640,19,40,66,13,2,4,8,32,1,17,40,0,1
09,659,8,26,88,5,7,17,49,29,2,2,25,2,0
09,660,13,53,142,12,4,23,10,46,5,0,29,16,0
09,661,9,39,104,12,10,31,57,27,8,4,19,8,1
10,188,1,17,69,36,2,29,135,132,29,0,132,0,0
10,189,4,20,48,278,1,65,279,282,274,0,280,4,2
10,190,1,16,60,28,1,29,179,89,81,0,79,8,0
10,191,4,48,99,39,1,26,163,162,28,0,163,24,0
10,192,6,67,108,72,1,45,210,204,51,0,196,2,0
10,193,2,25,140,26,0,92,233,98,95,0,116,4,0
10,194,5,19,53,20,4,36,231,46,37,0,39,0,0
10,195,3,152,225,24,1,43,267,55,51,0,50,0,0
10,196,3,21,184,74,0,71,445,97,75,0,95,10,0
10,197,4,25,40,15,1,10,151,149,16,0,152,9,0
10,198,3,26,50,32,2,27,120,37,36,0,36,21,3
10,199,3,13,34,40,1,23,111,113,24,0,112,13,0
10,200,2,24,45,73,0,19,215,210,45,0,216,0,1
10,201,3,287,715,37,1,23,231,32,26,0,33,2,2
10,202,1,17,55,32,0,20,134,132,20,0,131,15,0
