,bad_flg_covaxin,bad_flg_covishield,female_vac,first_dose_admin,lgd_district_id,lgd_state_id,male_vac,second_dose_admin,total_covaxin,total_covishield,total_individuals_registered,total_sessions_conducted,total_sites,trans_vac
168565,,,228814,495994,497,27,267132,71690,61235,506449,495994,26540,161,48
168854,,,41491,84550,498,27,43057,13719,10425,87844,84550,8900,48,2
169143,,,30314,67154,499,27,36835,5770,23646,49278,67154,8400,84,5
169432,,,45820,102749,500,27,56920,12718,9551,105916,102749,12500,122,9
169721,,,45759,95110,665,27,49346,17506,4347,108269,95110,4200,30,5
170010,,,102647,209220,502,28,106534,26798,49489,186529,209220,3600,23,39
170299,,,134656,268628,503,28,133953,36211,55347,249492,268628,19830,133,19
170588,,,91918,190225,504,28,98280,23167,41195,172197,190225,450,3,27
170877,,,116338,254066,505,28,137705,42454,46547,249973,254066,5200,34,23
171166,,,96400,213445,506,28,117027,40125,65733,187837,213445,31500,210,18
171455,,,106842,221046,510,28,114185,37264,47302,211008,221046,2050,13,19
171744,,,90818,186168,511,28,95335,26958,39008,174118,186168,1400,10,15
172033,,,98468,194257,515,28,95753,47156,14492,226921,194257,15401,87,36
172322,,,81985,174524,517,28,92524,25641,32103,168062,174524,8800,70,15
172611,,,73417,146798,519,28,73373,28552,29598,145752,146798,15900,105,8
172900,,,123903,257986,520,28,134065,39965,51310,246641,257986,18600,125,18
173189,,,56647,112443,521,28,55791,18767,32869,98341,112443,10800,72,5
173478,,,95279,192901,523,28,97604,32803,41396,184308,192901,5550,37,18
173767,,,77214,139698,524,29,62468,8767,35506,112959,139698,30400,242,16
174056,,,433263,869098,525,29,435764,112285,51001,930382,869098,59610,416,71
174345,,,29591,61904,526,29,32307,8462,6671,63695,61904,7700,72,6
174634,,,124443,231990,527,29,107522,33441,12553,252878,231990,26100,227,25
174923,,,96686,183963,528,29,87258,15729,24889,174803,183963,18550,160,19
175212,,,48605,96197,529,29,47579,8112,9972,94337,96197,8400,79,13
175501,,,70329,133883,530,29,63532,11047,26007,118923,133883,24600,225,22
175790,,,43246,75781,531,29,32503,5083,15421,65443,75781,8500,80,32
176079,,,41442,78976,532,29,37532,8859,10787,77048,78976,4200,35,2
176368,,,56589,107182,533,29,50569,11183,12985,105380,107182,19500,112,24
176657,,,76930,134559,534,29,57620,31771,20043,146287,134559,2100,18,9
176946,,,45966,91066,535,29,45084,10273,9565,91774,91066,33000,310,16
177235,,,62579,119248,536,29,56652,15135,8875,125508,119248,12200,90,17
177524,,,44599,83052,537,29,38445,8075,13101,78026,83052,12700,127,8
177813,,,52347,104452,538,29,52089,12427,9479,107400,104452,37400,350,16
178102,,,61043,112153,539,29,51094,12707,23916,100944,112153,18700,174,16
178391,,,37250,70574,540,29,33317,6359,8586,68347,70574,4600,45,7
